Column1,AQR,T4Q,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,31/12/08,CAGR
"YoY %","53.57%","-100.31%","39,297.88%","-38.53%","-113.46%","528.35%","-963.72%","-509.62%","0.00%","81.23%","-164.27%","-",""
"Horiz. %","-348.72%","-751.04%","244,918.58%","-624.83%","-451.04%","3,351.28%","-782.37%","-73.55%","-12.06%","-12.06%","-64.27%","100.00%",""
"EY","-6.65","-3.09","0.01","-3.71","-5.14","0.69","-2.97","-31.52","-191.28","-193.14","-36.09","23.20","-57.71%"
"YoY %","-115.21%","-31,000.00%","100.27%","27.82%","-844.93%","123.23%","90.58%","83.52%","0.96%","-435.16%","-255.56%","-",""
"Horiz. %","-28.66%","-13.32%","0.04%","-15.99%","-22.16%","2.97%","-12.80%","-135.86%","-824.48%","-832.50%","-155.56%","100.00%",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.62","0.62","0.71","0.53","0.58","0.72","0.75","0.55","0.61","0.36","0.34","0.21","14.48%"
"YoY %","0.00%","-12.68%","33.96%","-8.62%","-19.44%","-4.00%","36.36%","-9.84%","69.44%","5.88%","61.90%","-",""
"Horiz. %","295.24%","295.24%","338.10%","252.38%","276.19%","342.86%","357.14%","261.90%","290.48%","171.43%","161.90%","100.00%",""

